applied_at_utc,portal,title,company,location,job_host,outcome,proof_id
2026-08-11T08:02:26.478000,workopolis,Security Systems Service Technician,Kendrix Technologies,"Burnaby, BC",workopolis.com,applied,458696efb6b6
2026-08-11T07:43:21.732000,workopolis,"Implementation Technician (Vancouver, BC)",BFG Enterprise Services,"Vancouver, BC",workopolis.com,applied,d4929ee18bf6
2026-08-11T07:42:11.214000,workopolis,Software Developer,Dentixion group ltd,"North Vancouver, BC",workopolis.com,applied,bcb34161b868
2026-08-11T07:40:51.254000,workopolis,HRIS Specialist,LMI Technologies,"Burnaby, BC",workopolis.com,applied,029085cd5d6b
2026-08-11T07:39:35.732000,workopolis,Service Desk Lead,Concert Properties LTD.,"Vancouver, BC",workopolis.com,applied,8b36eafead2d
2026-08-11T07:38:17.999000,workopolis,Systems Analyst,F12.net,"Vancouver, BC",workopolis.com,applied,4cb7971a946b
2026-08-11T07:37:03.321000,workopolis,IT Specialist,veritree,"Vancouver, BC",workopolis.com,applied,1be3c99f8d3a
2026-08-11T07:35:42.274000,workopolis,IT Coordinator,RAM Consulting,"Vancouver, BC",workopolis.com,applied,ddc44d992a2a
2026-08-11T07:30:27.308000,workopolis,Technical Support Representative,FISPAN,"Vancouver, BC",workopolis.com,applied,4e789c6f9a64
2026-08-11T07:26:16.743000,workopolis,IT Support Technician,GEI Consultants,"Vancouver, BC",workopolis.com,applied,9466bfaa4635
2026-08-11T07:22:01.121000,workopolis,IT - Application Support Specialist,Northland Properties,"Vancouver, BC",workopolis.com,applied,de7f24dfaf0c
2026-08-11T07:18:24.450000,workopolis,IT - Support Analyst 1,Northland Properties,"Vancouver, BC",workopolis.com,applied,0fdfad8f084a
2026-08-11T07:13:17.258000,workopolis,Technical Support Analyst I,Family Insurance Solutions,"Vancouver, BC",workopolis.com,applied,03ffcfbfc66a
2026-08-11T07:11:33.954000,workopolis,IT Help Desk Specialist,Canucks Sports & Entertainment,"Vancouver, BC",workopolis.com,applied,46ec1a5c9a13
2026-08-11T07:10:17.108000,workopolis,IT Service Desk,Dilawri Group of Companies - BC Region,"Vancouver, BC",workopolis.com,applied,dfbdb8d0e4e2
2026-08-11T07:07:09.431000,workopolis,IT Support Engineer,Tecnics integrations,"Vancouver, BC",workopolis.com,applied,59412d04e6d5
2026-08-11T07:05:56.101000,workopolis,Junior IT Support,Bevo Farms Ltd,"Langley, BC",workopolis.com,applied,ce6a44c91c42
2026-08-11T07:04:37.801000,workopolis,Junior System Administrator,Grey Owl AI Ltd,"Vancouver, BC",workopolis.com,applied,bd9741faac2a
2026-08-11T04:40:27.502000,greenhouse,"Software Engineer, User Profile",stackadapt,"Vancouver, BC",job-boards.greenhouse.io,applied,462f5a409298
2026-08-11T04:27:21.188000,greenhouse,"Software Engineer, Backend",stackadapt,"Vancouver, BC",job-boards.greenhouse.io,applied,3272cbeb78f0
