portal,profile,status,title,company,location,url,discovered_at,gate_score,gate_reason,application_method,region,last_error
indeed,it,queued,Business Intelligence & Analytics Specialist,Nature's Path Foods,"Richmond, BC, CA",https://ca.indeed.com/viewjob?jk=d77b801e93daf614,2026-07-13 01:06:12.935000,100,hard gate: eligible IT listing,easy_apply,METRO_VAN,
indeed,it,queued,Production Data Analyst for Feature Animation - ILM Vancouver,Lucasfilm,"Vancouver, BC, CA",https://ca.indeed.com/viewjob?jk=caa6f5370d1be001,2026-07-13 01:06:11.894000,100,hard gate: eligible IT listing,unverified,METRO_VAN,
indeed,it,queued,"Software Development Engineer , Amazon Customer Service",Amazon.com,"Vancouver, BC, CA",https://ca.indeed.com/viewjob?jk=d75ef9733bcb4076,2026-07-13 01:06:11.707000,100,hard gate: eligible IT listing,unverified,METRO_VAN,
indeed,it,queued,Staff Software Engineer (Backend) - Everand Core,"Scribd, Inc.","Vancouver, BC, CA",https://ca.indeed.com/viewjob?jk=05c73e403ac7b9bc,2026-07-13 01:06:11.615000,100,hard gate: eligible IT listing,company_site,METRO_VAN,
indeed,it,queued,AI Integration & Automation Specialist,COLLINGWOOD SCHOOL,"West Vancouver, BC, CA",https://ca.indeed.com/viewjob?jk=6a76b1c66ead2302,2026-07-13 01:06:11.388000,100,hard gate: eligible IT listing,company_site,METRO_VAN,
indeed,it,queued,Advanced Data Analyst - EA SPORTS™ FC,Electronic Arts,"Vancouver, BC, CA",https://ca.indeed.com/viewjob?jk=57c89a700050dbe4,2026-07-13 01:06:11.329000,100,hard gate: eligible IT listing,unverified,METRO_VAN,
indeed,it,queued,"Software Development Engineer, AWS Amazon Connect - AI Voice Applications",Amazon.com,"Vancouver, BC, CA",https://ca.indeed.com/viewjob?jk=d022006569b2a310,2026-07-13 01:06:10.687000,100,hard gate: eligible IT listing,unverified,METRO_VAN,
indeed,it,queued,"HRIS Analyst, People Analytics & Governance",IREN,"Vancouver, BC, CA",https://ca.indeed.com/viewjob?jk=88cf2515030646b8,2026-07-13 01:06:10.647000,100,hard gate: eligible IT listing,unverified,METRO_VAN,
indeed,it,queued,SOC Analyst,Fortinet,"Burnaby, BC, CA",https://ca.indeed.com/viewjob?jk=ca62c96366412d6b,2026-07-13 01:06:10.640000,100,hard gate: eligible IT listing,company_site,METRO_VAN,
indeed,it,queued,Data Management Analyst,RBC,"Vancouver, BC, CA",https://ca.indeed.com/viewjob?jk=c835cf5a57e990ba,2026-07-13 01:06:10.559000,100,hard gate: eligible IT listing,unverified,METRO_VAN,
