portal,profile,status,title,company,location,url,discovered_at,gate_score,gate_reason,application_method,region,last_error
indeed,it,queued,Procurement Advisor,CIMIC Group,"Vancouver, BC, CA",https://ca.indeed.com/viewjob?jk=825fcc27eee6e57b,2026-07-13 01:06:14.988000,100,hard gate: eligible IT listing,company_site,METRO_VAN,
indeed,it,queued,Distribution Centre General Associate,ARC'TERYX,"New Westminster, BC, CA",https://ca.indeed.com/viewjob?jk=c874469dea6527b1,2026-07-13 01:06:14.977000,100,hard gate: eligible IT listing,company_site,METRO_VAN,
indeed,it,queued,"Associate Manager, Accounting – Expedia Cruises",Expedia Group,"Vancouver, BC, CA",https://ca.indeed.com/viewjob?jk=bc42dbcf06e53b52,2026-07-13 01:06:14.970000,100,hard gate: eligible IT listing,company_site,METRO_VAN,
indeed,it,queued,Financial Planning & Analysis Manager,Ledcor,"Vancouver, BC, CA",https://ca.indeed.com/viewjob?jk=b493121ec7bed4db,2026-07-13 01:06:14.963000,100,hard gate: eligible IT listing,unverified,METRO_VAN,
indeed,it,queued,Corporate Controller,ScalePad,"Vancouver, BC, CA",https://ca.indeed.com/viewjob?jk=5602ad50c5b1cb5d,2026-07-13 01:06:14.956000,100,hard gate: eligible IT listing,easy_apply,METRO_VAN,
indeed,it,queued,"Manager, Taxation",Seaspan ULC,"North Vancouver, BC, CA",https://ca.indeed.com/viewjob?jk=d7b19a6eb263b50b,2026-07-13 01:06:14.949000,100,hard gate: eligible IT listing,easy_apply,METRO_VAN,
indeed,it,queued,Junior Project Accountant,Klohn Crippen Berger,"Vancouver, BC, CA",https://ca.indeed.com/viewjob?jk=ce1eb7ede0224e26,2026-07-13 01:06:14.942000,100,hard gate: eligible IT listing,easy_apply,METRO_VAN,
indeed,it,queued,Operations Controls Supervisor,Food Process Solutions,"Richmond, BC, CA",https://ca.indeed.com/viewjob?jk=e61497225d3b79cb,2026-07-13 01:06:14.936000,100,hard gate: eligible IT listing,easy_apply,METRO_VAN,
indeed,it,queued,Logistics Administrator,Moe's Home Collection,"Vancouver, BC, CA",https://ca.indeed.com/viewjob?jk=48d2e55580553969,2026-07-13 01:06:14.930000,100,hard gate: eligible IT listing,easy_apply,METRO_VAN,
indeed,it,queued,Head Accountant,Ploutos Enterprises Ltd,"Vancouver, BC, CA",https://ca.indeed.com/viewjob?jk=de8a73c89d676382,2026-07-13 01:06:14.924000,100,hard gate: eligible IT listing,easy_apply,METRO_VAN,
indeed,it,queued,Production Control,Industrial Electric Manufacturing,"Surrey, BC, CA",https://ca.indeed.com/viewjob?jk=d951929b20b93f9b,2026-07-13 01:06:14.919000,100,hard gate: eligible IT listing,easy_apply,METRO_VAN,
indeed,it,queued,Senior Accountant,The Noel Asmar Group,"Surrey, BC, CA",https://ca.indeed.com/viewjob?jk=6e304980dc3c9189,2026-07-13 01:06:14.913000,100,hard gate: eligible IT listing,easy_apply,METRO_VAN,
indeed,it,queued,Shipper/Receiver,LMI Technologies,"Burnaby, BC, CA",https://ca.indeed.com/viewjob?jk=fbc2184a320451e5,2026-07-13 01:06:14.907000,100,hard gate: eligible IT listing,easy_apply,METRO_VAN,
indeed,it,queued,Insurance Payables Administrator,Westland Insurance Group,"Surrey, BC, CA",https://ca.indeed.com/viewjob?jk=e1ae6245a90700e5,2026-07-13 01:06:14.901000,100,hard gate: eligible IT listing,easy_apply,METRO_VAN,
indeed,it,queued,Production Manager Millwork,Nikolai Manufacturing Inc,"New Westminster, BC, CA",https://ca.indeed.com/viewjob?jk=ebad4ede6b644f8d,2026-07-13 01:06:14.894000,100,hard gate: eligible IT listing,easy_apply,METRO_VAN,
indeed,it,queued,Program Manager,Teifi Digital,"Vancouver, BC, CA",https://ca.indeed.com/viewjob?jk=8cea421da5df7803,2026-07-13 01:06:14.887000,100,hard gate: eligible IT listing,easy_apply,METRO_VAN,
indeed,it,queued,Financial Assistant,Prime Health Ltd.,"Maple Ridge, BC, CA",https://ca.indeed.com/viewjob?jk=35b190b24abe0b61,2026-07-13 01:06:14.879000,100,hard gate: eligible IT listing,easy_apply,METRO_VAN,
indeed,it,queued,Intermediate Accountant,Hypercharge Networks Corp.,"North Vancouver, BC, CA",https://ca.indeed.com/viewjob?jk=a8bba43367f82c2d,2026-07-13 01:06:14.868000,100,hard gate: eligible IT listing,easy_apply,METRO_VAN,
